HudongItem1,relation,HudongItem2
颜真卿,sex or gender,男
李紫婷,country of citizenship,泰国
威斯敏斯特市,country,英国
米诺斯,sex or gender,男
life,part of,生物
孟郊,sex or gender,男
白垩纪,instance of,system
华中地区,country,中华人民共和国
耳塞,instance of,产品
生物学,subclass of,自然科学
李紫婷,place of birth,曼谷
life,studied by,生物学
陈道明,sex or gender,男
南京故宫,country,中华人民共和国
白垩纪,part of,中生代
消费,facet of,经济学
陈道明,country of citizenship,中华人民共和国
山形瑞秋,country of citizenship,美国
life,has quality,繁殖
卡福,sex or gender,男
叶笃正,sex or gender,男
一半,country of origin,日本
张紫宁,part of,火箭少女101
唇齿音,subclass of,辅音
野村周平,sex or gender,男
白垩纪,follows,侏罗纪
出版,practiced by,出版社
生物学,studies,生命
李紫婷,occupation,歌手
写作,subclass of,沟通
卡福,country of citizenship,巴西
叶笃正,country of citizenship,中华人民共和国
一半,language of work or name,日语
野村周平,country of citizenship,日本
孟郊,languages spoken written or signed,汉语
生物学,studies,生物
光盘驱动器,subclass of,输入设备
京九铁路,part of,中国国家铁路集团有限公司
卡福,country for sport,巴西
张紫宁,country of citizenship,中华人民共和国
技术,studies,技术
马博文,country of citizenship,加拿大
京九铁路,country,中华人民共和国
技术,uses,技术
山形瑞秋,languages spoken written or signed,英语
孟郊,occupation,作家
马博文,languages spoken written or signed,英语
写作,use,沟通
山形瑞秋,occupation,歌手
life,has quality,生活质量
马博文,occupation,工程师
张紫宁,occupation,歌手
山形瑞秋,occupation,作曲家
写作,practiced by,作家
叶笃正,educated at,清华大学
叶笃正,educated at,浙江大学
京九铁路,operator,中国国家铁路集团有限公司
山形瑞秋,educated at,西北大学
名侦探柯南,country of origin,日本
卡福,sport,足球
山形瑞秋,work location,纽约
名侦探柯南,original language of film or TV show,日语
life,has part,生物
名侦探柯南,characters,琴酒
战略导弹,subclass of,弹道导弹
数据链路层,follows,物理层
伊恩·萨默海尔德,sex or gender,男
数据链路层,followed by,网络层
伊恩·萨默海尔德,country of citizenship,美国
因特网,instance of,计算机网络
兹比格涅夫·博涅克,sex or gender,男
长春中医药大学,country,中华人民共和国
兹比格涅夫·博涅克,country of citizenship,波兰
地理学,subclass of,社会科学
钱伟长,sex or gender,男
兹比格涅夫·博涅克,country for sport,波兰
数据链路层,has part,介质访问控制
前海深港现代服务业合作区,country,中华人民共和国
大久保麻梨子,country of citizenship,日本
钱伟长,country of citizenship,中华人民共和国
数据链路层,has part,逻辑链路控制
前海深港现代服务业合作区,located in the administrative territorial entity,南山区
电报,subclass of,沟通
防火墙,subclass of,安全软件
极限挑战,country of origin,中华人民共和国
中华人民共和国科学技术部,country,中华人民共和国
特立尼达和多巴哥,instance of,国家
陈建斌,sex or gender,男
石油,instance of,产品
极限挑战,original language of film or TV show,汉语
中华人民共和国科学技术部,parent organization,中华人民共和国国务院
数学家,field of this occupation,数学
陈建斌,country of citizenship,中华人民共和国
极限挑战,language of work or name,汉语
伊恩·萨默海尔德,languages spoken written or signed,英语
蒙古国,instance of,国家
58同城,country,中华人民共和国
58同城,legal form,公司
佐藤正治,sex or gender,男
俞大绂,sex or gender,男
斐济,instance of,国家
数学,history of topic,数学史
佐藤正治,country of citizenship,日本
防火墙,uses,传输层
建筑,practiced by,建筑师
陈建斌,native language,汉语
新木乃伊,country of origin,美国
防火墙,uses,应用层
俞大绂,country of citizenship,中华人民共和国
陈建斌,languages spoken written or signed,汉语
斐济,official language,英语
新木乃伊,original language of film or TV show,英语
钱伟长,employer,北京大学
特立尼达和多巴哥,official language,英语
猫和老鼠,country of origin,美国
钱伟长,employer,清华大学
猫和老鼠,original language of film or TV show,英语
猫和老鼠,language of work or name,英语
数学,has part,代数
蒙古国,continent,亚洲
特立尼达和多巴哥,continent,北美洲
兹比格涅夫·博涅克,sport,足球
蒙古国,country,蒙古国
钱伟长,educated at,清华大学
斐济,continent,大洋洲
数学,has part,集合论
特立尼达和多巴哥,lowest point,加勒比海
数学,has part,拓扑学
斐济,lowest point,太平洋
数学,has part,数学分析
新木乃伊,film editor,保罗·赫希
新木乃伊,composer,布莱恩·泰勒
斐济,diplomatic relation,澳大利亚
特立尼达和多巴哥,diplomatic relation,澳大利亚
斐济,diplomatic relation,中华人民共和国
蒙古国,diplomatic relation,德国
特立尼达和多巴哥,diplomatic relation,智利
斐济,diplomatic relation,美国
蒙古国,diplomatic relation,俄罗斯
特立尼达和多巴哥,diplomatic relation,英国
斐济,diplomatic relation,俄罗斯
蒙古国,diplomatic relation,中华人民共和国
特立尼达和多巴哥,diplomatic relation,巴巴多斯
斐济,diplomatic relation,印度
新木乃伊,filming location,摩洛哥
蒙古国,diplomatic relation,日本
蒙古国,diplomatic relation,法国
特立尼达和多巴哥,diplomatic relation,法国
蒙古国,diplomatic relation,加拿大
特立尼达和多巴哥,diplomatic relation,牙买加
蒙古国,diplomatic relation,澳大利亚
新木乃伊,ClassInd category,12
特立尼达和多巴哥,diplomatic relation,美国
斐济,diplomatic relation,所罗门群岛
蒙古国,diplomatic relation,英国
特立尼达和多巴哥,diplomatic relation,中华人民共和国
斐济,diplomatic relation,新西兰
蒙古国,diplomatic relation,挪威
特立尼达和多巴哥,diplomatic relation,日本
斐济,diplomatic relation,马来西亚
新木乃伊,FPB rating,13
蒙古国,diplomatic relation,新加坡
特立尼达和多巴哥,diplomatic relation,俄罗斯
斐济,diplomatic relation,印度尼西亚
蒙古国,diplomatic relation,保加利亚
特立尼达和多巴哥,diplomatic relation,印度
斐济,diplomatic relation,法国
蒙古国,diplomatic relation,克罗地亚
斐济,diplomatic relation,德国
蒙古国,diplomatic relation,捷克
特立尼达和多巴哥,diplomatic relation,德国
蒙古国,diplomatic relation,埃及
斐济,member of,联合国
特立尼达和多巴哥,member of,联合国
斐济,member of,世界贸易组织
蒙古国,diplomatic relation,越南
蒙古国,diplomatic relation,菲律宾
特立尼达和多巴哥,member of,世界贸易组织
斐济,member of,国际开发协会
蒙古国,diplomatic relation,美国
蒙古国,diplomatic relation,印度
特立尼达和多巴哥,member of,国际开发协会
蒙古国,member of,联合国
蒙古国,member of,世界贸易组织
蒙古国,member of,国际开发协会
斐济,member of,国际电信联盟
斐济,member of,世界气象组织
特立尼达和多巴哥,member of,国际电信联盟
特立尼达和多巴哥,member of,世界气象组织
蒙古国,member of,国际电信联盟
蒙古国,member of,世界气象组织
斐济,language used,英语
斐济,language used,英语
特立尼达和多巴哥,language used,英语
蒙古国,shares border with,中华人民共和国
蒙古国,shares border with,俄罗斯
蒙古国,language used,俄语
搜狗高速浏览器,instance of,软件
李隆基,sex or gender,男
格里戈里·佩雷尔曼,sex or gender,男
山西农业大学,country,中华人民共和国
产品生命周期理论,instance of,经济理论
格里戈里·佩雷尔曼,country of citizenship,苏联
路甬祥,sex or gender,男
虫洞,named after,阿尔伯特·爱因斯坦
甲子,country,中华人民共和国
刘东生,sex or gender,男
罗兰,said to be the same as,罗兰
格里戈里·佩雷尔曼,country of citizenship,俄罗斯
路甬祥,country of citizenship,中华人民共和国
刘东生,country of citizenship,中华人民共和国
渤海,tributary,海河
甲子,followed by,乙丑
中华人民共和国工业和信息化部,country,中华人民共和国
罗兰,said to be the same as,奥兰多
中华人民共和国工业和信息化部,parent organization,中华人民共和国国务院
路甬祥,occupation,工程师
刘东生,languages spoken written or signed,汉语
中华人民共和国工业和信息化部,subsidiary,北京理工大学
格里戈里·佩雷尔曼,languages spoken written or signed,俄语
新闻,subclass of,沟通
李宇春,country of citizenship,中华人民共和国
音乐产业,product or material produced,音乐
许晓诺,country of citizenship,中华人民共和国
galaxy,different from,银河系
圣乔治大厅,country,英国
斯威士兰,instance of,国家
路甬祥,employer,亚琛工业大学
刘东生,employer,清华大学
media,subclass of,材料
Outlook,instance of,应用软件
琥珀,subclass of,化石
剑客,sex or gender,男
符文,subclass of,字母
60分钟,country of origin,澳大利亚
路甬祥,employer,浙江大学
格里戈里·佩雷尔曼,field of work,拓扑学
好莱坞,country,美国
G1,subclass of,智能手机
李宇春,occupation,歌手
60分钟,original language of film or TV show,英语
格里戈里·佩雷尔曼,field of work,数学
好莱坞,located in the administrative territorial entity,洛杉矶
60分钟,language of work or name,英语
斯威士兰,official language,英语
刘东生,educated at,南京大学
中华人民共和国工业和信息化部,subsidiary,国家国防科技工业局
钱天白,educated at,清华大学
伯尔尼大学,country,瑞士
60分钟,narrative location,悉尼
路甬祥,member of,中国工程院
player,field of this occupation,足球
G1,operating system,Android
伯尔尼大学,located in the administrative territorial entity,伯尔尼
符文,language of work or name,古英语
galaxy,model item,银河系
渤海,country,中华人民共和国
琥珀,use,古生物学
斯威士兰,continent,非洲
路甬祥,educated at,亚琛工业大学
斯威士兰,country,斯威士兰
路甬祥,educated at,浙江大学
路甬祥,member of political party,中国共产党
中华人民共和国工业和信息化部,replaces,中华人民共和国信息产业部
格里戈里·佩雷尔曼,notable work,庞加莱猜想
Outlook,programming language,C++
斯威士兰,diplomatic relation,美国
斯威士兰,diplomatic relation,俄罗斯
斯威士兰,diplomatic relation,德国
斯威士兰,diplomatic relation,欧洲联盟
斯威士兰,member of,联合国
斯威士兰,member of,世界贸易组织
斯威士兰,member of,国际开发协会
李隆基,child,李琦
斯威士兰,member of,国际电信联盟
斯威士兰,member of,世界气象组织
斯威士兰,language used,英语
李隆基,languages spoken written or signed,文言文
背景音乐,subclass of,音乐
尹铸胜,sex or gender,男
三叠纪,instance of,system
Maker,country,英国
金丸淳一,sex or gender,男
尹铸胜,country of citizenship,中华人民共和国
三叠纪,part of,中生代
金丸淳一,country of citizenship,日本
孙武,sex or gender,男
沃尔特·李普曼,sex or gender,男
陈彪,sex or gender,男
魏文侯,sex or gender,男
三叠纪,follows,二叠纪
人再囧途之泰囧,country of origin,中华人民共和国
沃尔特·李普曼,country of citizenship,美国
三叠纪,followed by,侏罗纪
